,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
793,>= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,2892,... < 100 DM,.. >= 7 years,3,male : divorced/separated,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes
794,no checking account,24,existing credits paid back duly till now,radio/television,3062,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
795,no checking account,9,existing credits paid back duly till now,radio/television,2301,100 <= ... < 500 DM,... < 1 year ,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes
796,< 0 DM,18,existing credits paid back duly till now,car (used),7511,unknown/ no savings account,.. >= 7 years,1,male : single,none,4,if not A121 : building society savings agreement/ life insurance,51,none,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
797,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1258,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,2,unskilled - resident,1,none,yes
798,no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,.. >= 7 years,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",54,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
799,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account,... < 1 year ,4,male : single,none,2,real estate,35,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
800,no checking account,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1597,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes
801,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),domestic appliances,1795,... < 100 DM,.. >= 7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,"yes, registered under the customers name ",yes
802,< 0 DM,20,critical account/ other credits existing (not at this bank),radio/television,4272,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,none,yes
803,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,976,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes
804,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes
805,< 0 DM,36,existing credits paid back duly till now,car (new),9271,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
806,0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,590,... < 100 DM,... < 1 year ,3,male : married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no
807,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,930,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes
808,0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,1,male : single,none,2,unknown / no property,55,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
809,0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes
810,0 <= ... < 200 DM,8,existing credits paid back duly till now,business,907,... < 100 DM,... < 1 year ,3,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
811,0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,484,... < 100 DM,4 <= ... < 7 years,3,male : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes
812,< 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
813,< 0 DM,48,existing credits paid back duly till now,repairs,3051,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",54,none,own,1,skilled employee / official,1,none,yes
814,< 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes
815,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),7432,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,none,yes
816,no checking account,6,existing credits paid back duly till now,repairs,1338,500 <= ... < 1000 DM ,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes
817,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,1554,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes
818,< 0 DM,36,existing credits paid back duly till now,furniture/equipment,15857,... < 100 DM,unemployed,2,male : divorced/separated,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
819,< 0 DM,18,existing credits paid back duly till now,domestic appliances,1345,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes
820,no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
821,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3016,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
822,< 0 DM,36,existing credits paid back duly till now,radio/television,2712,... < 100 DM,.. >= 7 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,none,yes
823,< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,... < 100 DM,.. >= 7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes
824,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,3780,... < 100 DM,... < 1 year ,3,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
825,< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,.. >= 7 years,4,male : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
826,< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee / official,1,"yes, registered under the customers name ",yes
827,no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,2,none,yes
828,< 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,.. >= 7 years,3,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes
829,0 <= ... < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
830,no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes
831,< 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
832,< 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,.. >= 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,2,skilled employee / official,1,none,yes
833,0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,5084,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
834,>= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,domestic appliances,2327,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes
835,< 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",48,bank,own,2,skilled employee / official,1,none,yes
836,no checking account,12,existing credits paid back duly till now,domestic appliances,886,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes
837,no checking account,4,existing credits paid back duly till now,radio/television,601,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes
838,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
839,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2611,... < 100 DM,.. >= 7 years,4,male : married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes
840,< 0 DM,36,existing credits paid back duly till now,radio/television,5179,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes
841,no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1,none,yes
842,no checking account,18,existing credits paid back duly till now,education,1943,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes
843,no checking account,24,all credits at this bank paid back duly,business,1559,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",50,bank,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
844,no checking account,18,existing credits paid back duly till now,radio/television,3422,... < 100 DM,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name ",yes
845,0 <= ... < 200 DM,21,existing credits paid back duly till now,radio/television,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
846,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",68,none,rent,2,skilled employee / official,1,none,yes
847,no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year ,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
848,< 0 DM,9,existing credits paid back duly till now,domestic appliances,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes
849,< 0 DM,12,existing credits paid back duly till now,domestic appliances,709,... < 100 DM,.. >= 7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled - resident,1,none,yes
850,< 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,if not A121 : building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,none,no
851,no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
852,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1471,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
853,< 0 DM,18,all credits at this bank paid back duly,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes
854,no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,.. >= 7 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes
855,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,... < 1 year ,4,male : married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
856,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
857,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,3343,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
858,< 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
859,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no
860,no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,.. >= 1000 DM ,1 <= ... < 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes
861,no checking account,18,delay in paying off in the past,business,2169,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
862,< 0 DM,24,existing credits paid back duly till now,domestic appliances,2439,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
863,no checking account,27,critical account/ other credits existing (not at this bank),radio/television,4526,.. >= 1000 DM ,... < 1 year ,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name ",yes
864,no checking account,10,existing credits paid back duly till now,radio/television,2210,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes
865,no checking account,15,existing credits paid back duly till now,radio/television,2221,500 <= ... < 1000 DM ,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
866,< 0 DM,18,existing credits paid back duly till now,domestic appliances,2389,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes
867,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,3331,... < 100 DM,.. >= 7 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,none,yes
868,no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,.. >= 7 years,3,male : single,none,2,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,yes
869,< 0 DM,12,existing credits paid back duly till now,radio/television,652,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes
870,no checking account,36,delay in paying off in the past,radio/television,7678,500 <= ... < 1000 DM ,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
871,>= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,.. >= 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no
872,< 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
873,no checking account,15,existing credits paid back duly till now,repairs,874,unknown/ no savings account,... < 1 year ,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes
874,< 0 DM,12,existing credits paid back duly till now,radio/television,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2,none,yes
875,0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,.. >= 1000 DM ,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes
876,< 0 DM,18,all credits at this bank paid back duly,domestic appliances,1940,... < 100 DM,... < 1 year ,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
877,no checking account,36,existing credits paid back duly till now,domestic appliances,3595,... < 100 DM,.. >= 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
878,< 0 DM,9,existing credits paid back duly till now,car (new),1422,... < 100 DM,... < 1 year ,3,male : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
879,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,6742,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,none,yes
880,no checking account,24,existing credits paid back duly till now,car (used),7814,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
881,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
882,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes
883,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,1098,... < 100 DM,unemployed,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled - non-resident,1,none,yes
884,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4057,... < 100 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
885,< 0 DM,12,existing credits paid back duly till now,(vacation - does not exist?),795,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes
886,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes
887,0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
888,no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
889,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year ,3,male : single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name ",yes
890,< 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
891,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1829,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
892,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,none,no
893,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
894,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,1169,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
895,no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
896,< 0 DM,21,existing credits paid back duly till now,domestic appliances,2606,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
897,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1592,.. >= 1000 DM ,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,no
898,no checking account,15,existing credits paid back duly till now,radio/television,2186,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes
899,< 0 DM,18,existing credits paid back duly till now,radio/television,4153,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes
900,< 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,.. >= 7 years,2,male : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
901,no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,... < 1 year ,2,male : divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
902,no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,.. >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes
903,no checking account,15,existing credits paid back duly till now,domestic appliances,1386,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,40,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
904,no checking account,24,existing credits paid back duly till now,domestic appliances,1278,... < 100 DM,.. >= 7 years,4,male : single,none,1,real estate,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
905,< 0 DM,12,existing credits paid back duly till now,domestic appliances,1107,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,20,none,rent,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
906,< 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 <= ... < 7 years,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no
907,0 <= ... < 200 DM,36,existing credits paid back duly till now,(vacation - does not exist?),3711,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes
908,no checking account,15,delay in paying off in the past,car (used),3594,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,none,yes
909,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes
910,no checking account,36,delay in paying off in the past,domestic appliances,4454,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes
911,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,4736,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes
912,0 <= ... < 200 DM,30,existing credits paid back duly till now,domestic appliances,2991,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
913,no checking account,11,existing credits paid back duly till now,business,2142,.. >= 1000 DM ,.. >= 7 years,1,male : divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
914,< 0 DM,24,all credits at this bank paid back duly,business,3161,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
915,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,18424,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",no
916,no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,none,yes
917,< 0 DM,6,existing credits paid back duly till now,car (new),14896,... < 100 DM,.. >= 7 years,1,male : single,none,4,unknown / no property,68,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
918,< 0 DM,24,existing credits paid back duly till now,radio/television,2359,100 <= ... < 500 DM,unemployed,1,male : divorced/separated,none,1,if not A121 : building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes
919,< 0 DM,24,existing credits paid back duly till now,radio/television,3345,... < 100 DM,.. >= 7 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
